normal,simple
"When Ferdinand succeeded his father as King of Aragon in 1479 , the Crown of Castile and the various territories of the Crown of Aragon were united in a personal union creating for the first time since the 8th century a single political unit referred to as EspaÃ a ( Spain ) , the root of which is the ancient name Hispania .","Ferdinand succeeded his father as King of Aragon in 1479 and the Crown of Castile and the various territories of the Crown of Aragon were united in a personal union . For the first time since the 8th century this created a single political unit which might be called Spain , although the various territories were not properly administered as a single unit until the 18th century ."
"A closely related plant is marjoram from Turkey , which , however , differs significantly in taste , because phenolic compounds are missing from its essential oil .",That plant has a completely different taste . This is because phenolic compounds are missing in its essential oil .
"Amphetamine derivatives are a class of potent drugs that act by increasing levels of dopamine and norepinephrine in the brain , inducing euphoria .","These drugs increase the level of dopamine and norepinephrine in the brain , which can create euphoria ."
"It is also used to treat symptoms of traumatic brain injury ( TBI ) and the daytime drowsiness symptoms of narcolepsy , postural orthostatic tachycardia syndrome ( POTS ) and chronic fatigue syndrome ( CFS ) .","It is also used to treat symptoms of traumatic brain injury ( TBI ) and the daytime drowsiness symptoms of narcolepsy , amongst others ."
"The film makers appealed the NC-17 rating because of the highly negative stigma associated with NC-17 rated films , and because the NC-17 restricts the distribution and actual sales of such movies .","The MPAA rated the film as NC-17 , but instead the film was released unrated to avoid the NC-17 related stigma ."
"Tarama is salted and cured cod roe used to make taramosalata , a meze consisting of tarama mixed with lemon juice , bread crumbs , onions , and olive oil ; it is eaten as a dip .","Tarama is carp roe used to make taramosalata . Taramosolata is a Greek and Turkish food that is made of tarama mixed with lemon juice , bread crumbs , onions , and olive oil ."
"Among them were Benjamin Britten ( Serenade for Tenor , Horn and Strings , Canticle III ) , Malcolm Arnold ( Horn Concerto No. 2 ) , Paul Hindemith ( Concerto for Horn and Orchestra ) , York Bowen ( Concerto for Horn , Strings and Timpani ) , Peter Racine Fricker ( Horn Sonata ) , Gordon Jacob ( Concerto for Horn and String Orchestra ) , MÃ tyÃ s Seiber ( Notturno for Horn and Strings ) , Humphrey Searle ( Aubade for Horn and Strings ) , Ernest Tomlinson ( Rhapsody and Rondo for Horn and Orchestra , Romance and Rondo for Horn and Orchestra ) , Lennox Berkeley ( Trio for Horn , Violin and Piano ) and Elisabeth Lutyens .","Among them were Benjamin Britten Serenade for Tenor , Horn and Strings , Canticle III , Malcolm Arnold Horn Concerto No. 2 , Paul Hindemith Concerto for Horn and Orchestra , York Bowen Concerto for Horn , Strings and Timpani , Peter Racine Fricker Horn Sonata ( Dennis was at school with Peter ) , Gordon Jacob Concerto for Horn and String Orchestra , MÃ tyÃ s Seiber Notturno for Horn and Strings , Humphrey Searle Aubade for Horn and Strings , Ernest Tomlinson Rhapsody and Rondo for Horn and Orchestra , Romance and Rondo for Horn and Orchestra , Lennox Berkeley Trio for Horn , Violin and Piano and Elisabeth Lutyens ."
His Mozart recordings inspired Flanders and Swann 's Ill Wind and his classical playing inspired future generations of horn players .,His Mozart recordings inspired Flanders and Swann 's Ill Wind and his classical playing .
Horizontal gene transfer was first described in Japan in a 1959 publication that demonstrated the transfer of antibiotic resistance between different species of bacteria .,Horizontal gene transfer was first described in Japan in a 1959 publication that demonstrated the transfer of antibiotic resistance between different species of bacteria .
"Chocolate syrup is a chocolate flavored condiment . It is often used as a topping for various desserts , such as ice cream or mixed with milk to make chocolate milk .","Chocolate syrup is used to sweeten and flavor hot and cold drinks such as hot chocolate , chocolate milk , and chocolate milk shakes , and poured on desserts ."
"By definition , bosons are particles which obey Boseâ `` Einstein statistics : when one swaps two bosons , the wavefunction of the system is unchanged . Fermions , on the other hand , obey Fermiâ `` Dirac statistics and the Pauli exclusion principle : two fermions can not occupy the same quantum state as each other , resulting in a `` rigidity '' or `` stiffness '' of matter which includes fermions .","Bosons are different from Fermions , which are particles that make up matter , because they obey Bose-Einstein statistics ."
"In human anatomy , the metacarpus is the intermediate part of the hand skeleton that is located between the phalanges ( bones of the fingers ) distally and the carpus which forms the connection to the forearm .",The metacarpus is the intermediate part of the hand skeleton . It is located between the phalanges ( bones of the fingers ) distal and the carpus which forms the connection to the forearm .
"In vascular plants , phloem is the living tissue that carries organic nutrients ( known as photosynthate ) , in particular , glucose , a sugar , to all parts of the plant where needed .","In vascular plants , phloem is the living tissue made up of small tubes which carry watery sap containing sugar and other organic nutrients to all parts of the plant where the nutrients are used for growth , or stored until needed ."
"The largest living chelonian is the leatherback sea turtle ( Dermochelys coriacea ) , which reaches a shell length of 200 c and can reach a weight of over 900 k. Freshwater turtles are generally smaller , but with the largest species , the Asian softshell turtle Pelochelys cantorii , a few individuals have been reported up to 200 c. This dwarfs even the better-known alligator snapping turtle , the largest chelonian in North America , which attains a shell length of up to 80 c and a weight of about 60 k. Giant tortoises of the genera Geochelone , Meiolania , and others were relatively widely distributed around the world into prehistoric times , and are known to have existed in North and South America , Australia , and Africa .","The largest chelonian is a marine turtle , the great leatherback sea turtle , which reaches a shell length of 200 cm ( 80 inches ) and can reach a weight of over 900 kg ( 2,000 lb , or 1 short ton ) . Freshwater turtles are generally smaller , but with the largest species , the Asian softshell turtle Pelochelys cantorii , a few individuals have been reported to measure up to 200 cm or 80 in ( Das , 1991 ) ."
"For instance , thyrotoxicosis could instead be caused by ingestion of exogenous thyroid hormone or inflammation of the thyroid gland , causing it to release its stores of thyroid hormones .",It is caused by a thyroid gland that is too active .
"Hyperthyroidism is thus a cause of thyrotoxicosis , the clinical condition of increased thyroid hormones in the blood . It is important to note that hyperthyroidism and thyrotoxicosis are not synonymous .",Hyperthyroidism is a medical condition .
"This led to the synthesis of psilocybin , the active agent of many `` magic mushrooms . ''","This led to the synthesis of psilocybin , the active agent of many magic mushrooms ."
"However , lymphocytes , a type of white blood cell , will meet the antigens , or proteins , in the peripheral lymphoid organs , which includes lymph nodes . The antigens are displayed by specialized cells in the lymph nodes .",Lymph nodes contain white blood cells .
"A lymph node is a small ball-shaped organ of the immune system , distributed widely throughout the body including the armpit and stomach/gut and linked by lymphatic vessels . Lymph nodes are garrisons of B , T , and other immune cells .","A Lymph node is an organ consisting of many types of cells , and is a part of the lymphatic system ."
"Birmingham attacked strongly in the next ten minutes . In the 75th minute Trautmann , diving at an incoming ball , was knocked out in a collision with Birmingham 's Peter Murphy in which he was hit in the neck by Murphy 's right knee .","At the 75th minute of this game , Trautmann was hit by a player from Birmingham ."
"There are enemies and obstacles that endanger Yoshi and Baby Mario on each stage . If Yoshi is struck by an enemy , Baby Mario will be sprung from Yoshi 's back and float around in a bubble crying while a timer counts down ; if Yoshi does not reunite with Baby Mario before the timer reaches 0 , Baby Bowser 's minions will fly on screen and kidnap him , ending the level and reducing the player 's chances to retry by one .","Baby Mario lands on the back of Yoshi , who , along with seven other Yoshis , helps Baby Mario defeat Baby Bowser and rescue Baby Luigi ."
"Na + / K + - ATPase ( fully Sodium-Potassium Adenosine Triphosphatase , also known as the Na + / K + pump , sodium-potassium pump , or simply sodium pump , for short ) is an enzyme located in the plasma membrane ( to be specific , an electrogenic transmembrane ATPase ) in all animals .","Na + / K + - ATPase ( fully Sodium-Potassium Adenosine Triphosphatase , also known as the Na + / K + pump , sodium-potassium pump , or simply sodium pump , for short ) is an enzyme found in the plasma membrane that removes Na + ( sodium ) ions and replaces them with K + ( potassium ) ions ."
"Nausea ( Latin nausea , from Greek , nausiÄ `` , `` motion sickness '' , or `` wamble '' ) , is a sensation of unease and discomfort in the upper stomach with an involuntary urge to vomit .","Nausea is a general feeling of unease and discomfort in the stomach , often with the urge to vomit ."
"It is one of the four traditional classes of tissues ( the others being epithelial , muscle , and nervous tissue ) .","It is one of the four traditional classes of tissues ( the others being epithelial , muscle , and nervous tissue ) ."
"Collagen is the main protein of connective tissue in animals and the most abundant protein in mammals , making up about 25 % of the total protein content .","Collagen is the main protein of connective tissue in animals and the most abundant protein in mammals , making up about 25 % of the total protein content ."
"Connective tissue makes up a variety of physical structures including , tendons , blood , cartilage , bone , adipose tissue , and lymphatic tissue .","Connective tissue makes up a variety of physical structures including , tendons , blood , cartilage , bone , adipose tissue , and lymphatic tissue ."
"It has 3 main components ; cells , fibers , and extracellular matrix .","It has 3 main components ; cells , fibers , and extracellular matrix ."
"Martin Scorsese 's direction of The Departed earned him his second Golden Globe for Best Director , as well as a Critic 's Choice Award , his first Director 's Guild of America Award , and the Academy Award for Best Director . While being presented with the award , Scorsese said `` Could you double-check the envelope ? ''",This was Scorsese 's first Academy Award for Best Director .
"Agranulocytosis , also known as Agranulosis or Granulopenia , is an acute condition involving a severe and dangerous leukopenia ( lowered white blood cell count ) , most commonly of neutrophils , causing a neutropenia in the circulating blood .","It is a type of severe and dangerous leukopenia ( a condition of very low number of white blood cells ) . If the agranulocytosis is because of a lack of neutrophils ( called neutropenia ) , it is especially bad ."
"Thus pain and pleasure act as checks on each other : `` To gain a desired prey , a dog or wolf will do things that , in other contexts , they would shy away from : run through thorn bushes , jump into cold water and expose themselves to risks which would normally frighten them .","`` To gain a desired prey , a dog or wolf will do things ( that they would normally not do , such as ) run through thorn bushes , jump into cold water and expose themselves to risks which would normally frighten them ."
"This `` antisymmetric wavefunction '' behavior implies that fermions are subject to the Pauli exclusion principle , i.e. no two fermions can occupy the same quantum state at the same time . This results in `` rigidity '' or `` stiffness '' of states that include fermions ( atomic nuclei , atoms , molecules , etc. ) , so fermions are sometimes said to be the constituents of matter , while bosons are said to be the particles that transmit interactions ( i.e. force carriers ) or the constituents of electromagnetic radiation .",Fermions can be thought of as the building blocks of matter because atoms are made up of fermions .
"Diane Dodd was able to show allopatric speciation by reproductive isolation in D. pseudoobscura after only eight generations using different food types , starch and maltose .","In 1989 Diane Dodd gave laboratory populations of D. pseudoobscura two different food types , starch and maltose ."
"His popular singles released recently include luk thung singles Mah Tummai ( with Jintara Poonlarp ) , Fan Ja ( with Jintara and Jarin B. ( Joey Boy ) , Nat Myria Benedetti and Katreeya English ) , Lao Su Kan Fang , and Yak Tham Kor Tob and Mai Kang Ying Pae from his album `` Volume One '' .","His popular singles released recently include luk thung singles Mah Tummai ( with Jintara Poonlarp ) , Fan Ja ( with Jintara and Jarin B. ( Joey Boy ) , Nat Myria Benedetti and Katreeya English ) , Lao Su Kan Fang , and Yak Tham Kor Tob and Mai Kang Ying Pae from his album `` Volume One '' ."
"Mea vid-cirklo restas presk ' primitiva - En olu es nia afero intima , interna Por ke kun homaro la Tero flugadez eterne .","Mea vid-cirklo restas presk ' primitiva - En olu es nia afero intima , interna Por ke kun homaro la Tero flugadez eterne ."
"It is mostly water ( 93 % by volume ) and contains dissolved proteins , glucose , clotting factors , mineral ions , hormones and carbon dioxide ( plasma being the main medium for excretory product transportation ) .","It is mostly water ( 90 % by volume ) and contains dissolved proteins , glucose , clotting factors , mineral ions , hormones and carbon dioxide . Plasma is the transport medium for excretion ."
"He described the white stripe as representing the glaciers and ice cap , which cover more than 80 % of the island ; the red stripe , the ocean ; the red semicircle , the sun , with its bottom part sunk in the ocean ; and the white semicircle , the icebergs and pack ice .","He described the white stripe as representing the glaciers and ice cap ; the red stripe , the ocean ; the red semicircle , the fjords ; and the white semicircle , the icebergs and pack ice ."
"In the city of Shifang , the collapse of two chemical plants led to leakage of some 80 tons of liquid ammonia , with hundreds of people reported buried .","In Shifang , 2 chemical factories were damaged and leaked 80 tons of liquid ammonia ."
"People stood silent for three minutes while air defense , police and fire sirens , and the horns of vehicles , vessels and trains sounded .","People stood silent for 3 minutes . Air defense , police and fire sirens , and the horns of vehicles , vessels and trains sounded ."
"Periodontitis is a set of inflammatory diseases affecting the periodontium , i.e. , the tissues that surround and support the teeth .",Periodontitis is a set of diseases which usually attacks the tissues surrounding the teeth .
"The events were numbered , as In Your House # 1 , # 2 , and so on , until event specific subtitles were added , starting with # 7 `` Good Friends , Better Enemies '' ( referring to the main event of Shawn Michaels vs. Diesel ) , such as `` It 's Time '' ( Vader 's catch phrase ) , `` Buried Alive '' ( describing the main event match ) , `` A Cold Day in Hell '' ( contrasting gimmicks of main eventers Steve Austin and The Undertaker ) , `` Rock Bottom '' ( The Rock 's finishing move and the decline of his opponent Mankind ) , `` St. Valentine 's Day Massacre '' ( a violent event taking place in February and the PPV happened on Valentine 's Day ) , and many others .","The events were numbered numerically ( example : In Your House # 1 , # 2 ) until In Your House # 7 where specific subtitles were added which usually referred to the main event , starting with In Your House # 7 : Good Friends , Better Enemies ( refers to the Shawn Michaels vs. Diesel match ) ."
"It has been shown that snake venom evolved via a process by which a gene encoding for a normal body protein , typically one involved in key regulatory processes or bioactivity , is duplicated , and the copy is selectively expressed in the venom gland .",Snake venom evolved by the duplication of a gene encoding for a normal regulatory or bioactivity protein . Then the copy was expressed in the venom gland .
Natural Selection has driven the origination and diversification of the toxins to counter the defenses of their prey .,Natural selection has driven the diversification of the toxins to counter the defences of the prey .
"Once toxins have been recruited into the venom proteome , they form large multigene families and evolve via the birth-and-death model of protein evolution , which leads to a diversification of toxins that allows the sit-and-wait predators the ability to attack a wide range of prey .","Venom genes form large multigene families , and evolve by protein evolution . This leads to a diversification of toxins that let sit-and-wait predators attack a wide range of prey ."
"Benoit was found to have Xanax , hydrocodone , and an elevated level of testosterone , caused by a synthetic form of the hormone , in his system .","Chris Benoit was found to have Xanax , hydrocodone , and an elevated level of testosterone , caused by a synthetic form of testosterone , in his system ."
"Toxicology reports released on July 17 , 2007 revealed that at their time of death , Nancy had three different drugs in her system : Xanax , hydrocodone , and hydromorphone , all of which were found at the therapeutic rather than toxic levels .","Toxicology reports released on July 17 , 2007 revealed that at their time of death , Nancy Benoit had three different drugs in her system : Xanax , hydrocodone , and hydromorphone , all of which were found at the therapeutic rather than toxic levels ."
"Oscar Fredrick Dronjak ( born January 20 , 1972 ) is the lead and rhythm guitarist and founder of the Heavy Metal band HammerFall .",Oscar Fredrick Dronjak ( born January 20 1972 ) is the rhythm guitarist of the power metal band HammerFall .
"Broadly speaking , fuel oil is any liquid petroleum product that is burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power , except oils having a flash point of approximately and oils burned in cotton or wool-wick burners .","Broadly speaking , fuel oil is any liquid petroleum product that is burned in a furnace or boiler for the generation of heat or used in an engine for the generation of power , except oils having a flash point of approximately +40 Â C and oils burned in cotton or wool-wick burners ."
"The Nice model popular among planetary scientists postulates that the gas giant planets migrated in orbit at this time , causing objects in the asteroid belt and/or Kuiper belt to be put onto eccentric orbits that reached the terrestrial planets .","One popular theory is that the gas giant planets migrated in orbit at this time , causing objects in the asteroid belt and/or Kuiper belt to be forced into orbits which reached the terrestrial planets ."
"For the best-fit `` snowman '' model , the density is found to be 1.8 Â 0.2 g/cm Â , giving a porosity of the order of 20 % , and possibly indicating that the main components are fractured solid bodies , but that the asteroid is rather not a rubble pile .","For the best-fit `` snowman '' model , the density is found to be 1.8 Â 0.2 g/cm Â . This gives a porosity of the order of 20 % ."
Whipple shared the Nobel Prize in Physiology or Medicine in 1934 with George Richards Minot and William Parry Murphy `` for their discoveries concerning liver therapy in cases of anemia . '',"He won the 1934 Nobel Prize in Physiology or Medicine , along with George Minot and William P. Murphy , for their discoveries about how eating liver could cure anemia ."
"Medicines obtained from stems include quinine from the bark of cinchona trees , camphor distilled from wood of a tree in the same genus that provides cinnamon , and the muscle relaxant curare from the bark of tropical vines .","Medicines obtained from stems include quinine from the bark of cinchona trees , camphor distilled from wood of a tree in the same genus that provides cinnamon , and the muscle relaxant curare from the bark of tropical vines ."
"Stem usually consist of three tissues , dermal tissue , ground tissue and vascular tissue .","Stem usually consist of three tissues , dermal tissue , ground tissue and vascular tissue ."
"Wood pulp is widely used to make paper , paperboard , cellulose sponges , cellophane and some important plastics and textiles , such as cellulose acetate and rayon .","Wood pulp is widely used to make paper , cardboard , cellulose sponges , cellophane and some important plastics and textiles , such as cellulose acetate and rayon ."
"The stem is normally divided into nodes and internodes , the nodes hold buds which grow into one or more leaves , inflorescence ( flowers ) , cones or other stems etc. .","The stem is normally divided into nodes and internodes , the nodes hold buds which grow into one or more leaves , flowers , cones or other stems etc. ."
"Vegetables from stems are asparagus , bamboo shoots , cactus pads or nopalitos , kohlrabi , and water chestnut .","Vegetables from stems are asparagus , bamboo shoots , cactus pads or nopalitos , kohlrabi , and water chestnut ."
"Bast fibers for textiles and rope are obtained from stems include flax , hemp , jute and ramie .","Bast fibers for textiles and rope are obtained from stems include flax , hemp , jute and ramie ."
Stems provide a few major staple crops such as potato and taro .,Stems provide a few major staple crops such as potato and taro .
"RC4 is the most widely used stream cipher in software ; others include : A5/1 , A5/2 , Chameleon , FISH , Helix , ISAAC , MUGI , Panama , Phelix , Pike , SEAL , SOBER , SOBER-128 and WAKE .","RC4 is the most widely used stream cipher in software ; others include : A5/1 , A5/2 , Chameleon , FISH , Helix , ISAAC , MUGI , Panama , Phelix , Pike , SEAL , SOBER , SOBER-128 and WAKE ."
"Block ciphers operate on large blocks of digits with a fixed , unvarying transformation .",Block ciphers operate on large blocks of fixed length .
Males of the subspecies caudatus have a mostly blue tail and no blue throat patch while males of the subspecies margarethae have green tips to the tail-feathers .,"Males of the subspecies caudatus have a mostly blue tail and no blue throat patch , while males of the subspecies margarethae have green tips to the tail-feathers ."
"Females have a blue crown and white throat , breast and belly .","Females have a blue crown and white throat , breast and belly ."
"This can be done with a rag and some turpentine for a certain time while the paint is wet , but after a while , the hardened layer must be scraped . Oil paint dries by oxidation , not evaporation , and is usually dry to the touch within a span of two weeks .","Oil paint is usually dry to the touch in a day to two weeks , depending on how much oil and turpentine is in it ."
"Often an oil such as linseed was boiled with a resin such as pine resin or even frankincense ; these were called ` varnishes ' and were prized for their body and gloss . Other oils occasionally used include poppyseed oil , walnut oil , and safflower oil .","These include pine resin , frankincense , poppy seed oil , walnut oil , and in more modern times safflower oil ."
"Oil paint is usually mixed with linseed oil , artist grade mineral spirits or other solvents to create a thinner , faster or slower drying paint . A basic rule of oil paint application is ` fat over lean . '",The most usual type of oil that is used in paint is linseed oil .
"The linseed oil itself comes from the flax seed , a common fiber crop . It is interesting to note that linen , an important `` support '' for oil painting ( see below ) also comes from the flax plant .","Linseed oil , which is the main type of oil used for oil painting , comes from the flax seed ."
"Oil painting is the process of painting with pigments that are bound with a medium of drying oil â '' especially in early modern Europe , linseed oil .",Oil painting is a way of painting pictures with pigments ( colors ) that are held together by the medium of oil . The most usual type of oil that is used in paint is linseed oil .
"Specifically , the Cucurbitaceae are responsible for some food species , such as squash , pumpkin ( both from Cucurbita ) , watermelon ( Citrullus vulgaris ) and other melons , and cucumber ( Cucumis ) .","Specifically , the Cucurbitaceae are responsible for some food species , such as squash , pumpkin ( both from Cucurbita ) , watermelon ( Citrullus vulgaris ) , melon and cucumber ( both Cucumis ) ."
"As part of the carbon cycle known as photosynthesis , plants , algae , and cyanobacteria absorb carbon dioxide , sunlight , and water to produce carbohydrate energy for themselves and oxygen as a waste product . By contrast , during respiration they emit carbon dioxide , as do all other living things that depend either directly or indirectly on plants for food .",Plants use carbon dioxide to make food .
"In those treated for diabetes a diagnosis of hypoglycemia can be made based on the presence of a low blood sugar alone . Otherwise Whipple 's triad is required which include symptoms consistent with hypoglycemia , a low blood sugar , and resolution of these symptoms once the blood sugar improves .",Hypoglycemia is a condition that involves lower than normal blood sugar .
"The phage infects a bacterium by attaching to its outer membrane and injecting its genetic material , leaving its empty shell attached to the bacterium .",The phage infects a bacterium by attaching to it and injecting its genetic material into it .
"Many cells ingest food and other materials through a process of endocytosis , where the outer membrane invaginates and then pinches off to form a vesicle .","Many cells take in food and other things using something called endocytosis . In endocytosis , the membrane closest to the outside bends inwards and then pinches off to make a vesicle ."
"They have a variety of internal membranes and structures , called organelles , and a cytoskeleton composed of microtubules , microfilaments , and intermediate filaments , which play an important role in defining the cell 's organization and shape .",The cytoskeleton is made up of microtubules and microfilaments . Those parts are very important in the cell 's shape .
"The name `` digit '' comes from the fact that the 10 digits ( ancient Latin digita meaning fingers ) of the hands correspond to the 10 symbols of the common base 10 number system , i.e. the decimal ( ancient Latin adjective dec. meaning ten ) digits .","In the decimal system ( which is base 10 ) , each digit is how many of a certain power of 10 are needed to get the value ."
"It is traditionally white with red stripes and flavored with peppermint or cinnamon ; however , it is also made in a variety of other flavors and may be decorated with stripes of different colors and thicknesses .",It is usually white with red stripes and tastes like peppermint . It is also made in many other flavors and colors .
"The garden dormouse can be recognized by black eye markings , relatively large ears , short hair , and a white tassel at the end of the tail .","The garden dormouse has black eye marks , large ears ( for a rodent ) , short hair , and a white tassel at the end of the tail ."
"The most widely known today is the cor anglais , or English horn , the tenor ( or alto ) member of the family . A transposing instrument ; it is pitched in F , a perfect fifth lower than the oboe .",Sometimes there is also a cor anglais which sounds a fifth lower than the oboe .
"Canine distemper is a viral disease that affects animals in the families Canidae , Mustelidae , Mephitidae , Hyaenidae , Ailuridae , Procyonidae , Pinnipedia , some Viverridae and Felidae ( though not domestic cats ; feline distemper or panleukopenia is a different virus exclusive to cats ) .","Canine distemper is a viral disease that affects animals in the families Canidae , Mustelidae , Mephitidae , Procyonidae and some Felidae ( though not domestic cats is a different virus exclusive to cats ) ."
"It is a single-stranded RNA virus of the family paramyxovirus , and thus a close relative of measles and rinderpest .","It is a single-stranded RNA virus of the family paramyxovirus , and thus a close relative of measles and rinderpest ."
"Aphids alone cause tens of millions of dollars of damage to crops worldwide every year ; because of this , aphidophagous hoverflies are being recognized as important natural enemies of pests , and potential agents for use in biological control .","Aphids alone cause tens of millions of dollars of damage to crops worldwide every year . Hoverflies are important natural enemies of these pests , and can be used in biological control ."
"Deuterostomes are distinguished by their embryonic development ; in deuterostomes , the first opening ( the blastopore ) becomes the anus , while in protostomes it becomes the mouth .","Deuterostomes are distingued by their embryo , in deuterostomes , the first opening ( the blastopore ) becomes the anus , while in protostomes it becomes the mouth ."
"Baked Alaska ( also known as glace au four , omelette Ã la norvÃ gienne , Norwegian omelette and omelette surprise ) is a dessert made of ice cream placed in a pie dish lined with slices of sponge cake or Christmas pudding and topped with meringue .",Baked Alaska is a dessert made of ice cream on top of slices of sponge cake or Christmas pudding and covered with meringue .
"For the Avatar , learning to bend their opposite element can be extremely difficult ; the example shown in the series is Aang 's inability to stand his ground head-on while Earthbending , his Airbender training having placed emphasis on circling , approaching from new angles and adapting on the fly .","For the Avatar , learning to bend their opposite element can be extremely difficult ; the example shown in the series is Aang 's inability to stand his ground head-on while Earthbending , his Airbender training having placed emphasis on circling , approaching from new angles and adapting on the fly ."
"Aang and his friends discover that an upcoming solar eclipse will deprive Firebenders of their bending , leaving them open to invasion and giving Aang his chance to defeat the Fire Lord , but in learning this Aang 's Sky Bison is lost to a group of Sandbenders .","Aang and his friends discover that an upcoming solar eclipse will deprive Firebenders of their bending , leaving them open to invasion and giving Aang his chance to defeat the Fire Lord ."
"It is used in the United States and in varying degrees around the world , by clinicians , researchers , psychiatric drug regulation agencies , health insurance companies , pharmaceutical companies , and policy makers .","It is used in the United States and around the world by doctors , researchers , health insurance companies , companies which make medicine , and others ."
The Remote Disc capability is achieved by the computer wirelessly accessing the optical drive of another Mac or Windows PC that has the Remote Disc program installed .,The Remote Disc capability is achieved by the computer wirelessly accessing the optical drive of another Mac or Windows PC that has the Remote Disc program installed .
